country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Slovenia,,,,,,,,,,,,,,,,,80,81,82,83,83,83,85,85,84,84,84,84,84,83,83,83,83,83,85,85,84,85,87,87,87,85,85,84
Somalia,23,23,23,22,23,23,23,23,23,23,23,22,23,22,22,15,20,22,22,23,23,23,23,23,23,24,24,24,24,24,21,21,21,21,22,29,30,29,30,30,30,39,39,34
South Africa,31,31,30,31,31,31,31,31,31,31,31,32,32,32,32,37,38,38,40,65,71,71,71,71,71,74,74,74,74,75,74,75,75,75,74,75,75,75,71,72,69,69,67,66
South Korea,45,45,45,45,45,49,47,47,48,48,49,49,56,68,72,72,71,73,73,73,73,73,73,75,76,77,77,77,77,78,78,78,78,75,75,75,75,75,76,76,76,75,83,83
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,32,28,28,25,24,24
Spain,39,44,53,70,78,79,80,81,81,81,80,81,81,81,82,82,82,82,83,82,83,83,83,83,83,83,83,83,83,83,84,84,85,86,86,87,87,86,82,83,84,84,84,84
Sri Lanka,60,60,59,59,58,55,54,54,52,52,52,51,48,48,48,49,49,49,50,50,52,51,51,51,50,51,51,51,51,51,50,48,48,48,48,52,51,53,50,50,57,61,60,65
Sudan,33,33,33,33,33,32,32,33,33,33,37,38,38,38,25,23,23,23,23,23,23,23,23,23,23,25,26,26,26,27,31,31,31,32,32,32,31,31,31,29,30,33,34,31
Swaziland,44,44,44,44,44,45,44,44,44,44,45,44,45,45,45,45,44,43,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,46,47,47,47,47,50,53
Sweden,89,89,90,90,90,91,90,94,93,93,94,94,95,95,95,95,95,95,95,96,95,95,95,95,95,96,96,96,96,96,95,96,96,97,96,97,97,97,92,92,91,92,90,89
Switzerland,83,83,83,83,84,84,84,84,84,84,84,84,85,85,85,87,89,89,89,89,90,90,90,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,91,91,90,90,92,92
Syria,24,24,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,27,27,31,32,31,31,32,29,29,29,30,30,29,26,23,20,19,19,20,22,21
Tajikistan,,,,,,,,,,,,,,,,,46,29,25,25,29,30,32,34,35,43,43,44,44,42,42,41,41,41,41,41,41,40,35,35,34,35,35,31
Tanzania,56,56,56,56,57,57,57,57,57,57,57,56,56,56,56,57,56,58,57,58,58,58,58,59,59,58,59,59,59,59,58,59,59,59,59,59,59,59,58,58,59,57,58,57
Thailand,42,40,40,39,40,46,48,48,51,51,52,51,50,52,52,53,51,52,55,55,56,56,56,57,56,57,58,57,57,57,56,53,55,57,57,55,58,58,54,41,41,41,39,42
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,58,58,58,59,59,59,60,60,60,60,60,58,58,57,55,56
Togo,34,34,34,34,34,35,35,36,36,36,36,36,36,36,36,36,44,45,46,45,45,45,45,44,45,46,45,46,46,46,49,50,51,51,53,52,52,52,52,51,52,52,47,49
Trinidad and Tobago,70,70,71,72,72,72,73,73,73,73,73,74,74,75,75,74,75,75,75,75,75,75,75,75,75,76,77,77,77,77,77,77,78,77,77,78,78,78,77,78,79,78,78,79
Tunisia,48,48,48,48,48,48,49,49,49,49,49,49,50,48,49,49,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,71,71,72,72,73,76,77,76
Turkey,50,50,48,48,49,37,32,32,33,43,43,43,43,44,43,46,48,47,47,47,48,48,49,49,50,51,51,55,56,57,58,56,55,51,51,52,52,52,46,45,44,39,34,35
Turkmenistan,,,,,,,,,,,,,,,,,34,31,29,30,29,29,25,25,25,24,24,24,24,24,24,24,26,26,26,25,25,25,28,28,28,28,31,32
Uganda,38,37,37,38,38,46,46,46,46,46,46,49,54,55,56,56,56,58,59,60,61,60,62,62,61,62,61,62,61,61,62,61,62,62,62,61,62,61,59,59,59,56,58,53
Ukraine,,,,,,,,,,,,,,,,,61,52,52,53,52,52,52,52,52,51,51,51,51,52,57,58,58,58,58,56,56,56,57,50,50,51,49,50
