country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Slovak Republic,,,,,,,,,,,,,,,,,,,63,63,63,63,63,63,63,63,63,62,62,62,62,64,64,64,64,67,67,66,65,65,65,66,62,65
Slovenia,,,,,,,,,,,,,,,,,54,58,62,62,62,61,61,61,61,62,61,61,61,61,61,61,62,62,66,67,69,74,77,76,74,70,67,68
Somalia,20,20,20,20,22,22,22,22,22,20,20,20,20,20,20,20,17,15,15,15,15,15,15,16,16,18,18,18,18,18,19,19,17,17,17,19,22,24,27,27,27,31,37,36
South Africa,29,29,29,29,29,29,29,29,30,30,30,30,30,31,30,31,31,31,31,63,66,66,64,64,65,67,67,67,66,75,76,76,76,76,70,70,70,70,64,68,66,67,66,63
South Korea,33,33,33,32,32,32,32,32,32,32,32,32,32,40,40,40,40,46,52,54,54,54,54,60,60,61,61,63,63,65,65,65,62,64,64,64,64,64,64,64,62,63,68,67
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,34,34,34,32,34,38
Spain,23,23,44,57,57,64,64,64,64,64,64,65,65,66,68,68,68,68,71,71,71,73,73,74,74,74,74,74,74,78,82,82,83,82,83,85,83,83,81,81,79,80,80,80
Sri Lanka,47,47,46,46,46,48,48,46,46,46,46,46,46,49,49,49,49,49,49,50,50,50,50,50,49,49,49,49,49,50,49,49,49,49,49,49,49,49,49,49,53,55,56,56
Sudan,25,25,25,26,26,23,23,24,25,25,26,24,24,24,22,27,28,28,28,28,28,29,29,29,30,34,35,35,35,35,35,36,36,36,36,38,38,38,38,38,37,40,39,43
Swaziland,41,41,41,40,44,44,44,44,43,43,43,43,44,44,44,44,44,37,39,40,40,40,40,40,40,40,40,40,42,43,41,42,42,43,42,43,42,42,41,41,41,41,38,38
Sweden,68,70,74,74,78,78,78,75,75,75,77,77,82,84,84,85,86,87,87,91,91,91,91,92,92,92,92,92,92,92,92,92,92,94,94,94,94,94,92,92,92,92,92,92
Switzerland,55,55,55,55,56,56,56,56,56,56,56,56,61,61,61,64,61,61,61,61,66,66,66,70,74,78,78,78,79,78,78,78,81,81,81,82,82,82,77,78,77,77,85,85
Syria,31,31,31,32,32,32,34,34,34,34,34,35,35,35,35,35,35,35,35,36,36,36,36,36,36,38,38,38,39,39,39,39,39,39,39,39,39,38,38,37,37,36,36,36
Tajikistan,,,,,,,,,,,,,,,,,39,38,28,24,30,30,30,30,28,37,37,38,38,38,39,34,35,35,35,35,35,36,37,37,37,33,31,31
Tanzania,49,49,49,49,49,49,51,51,51,51,51,51,51,51,51,54,54,53,53,53,59,60,60,60,60,60,62,62,62,62,61,61,61,61,61,63,63,63,63,63,71,69,73,64
Thailand,37,41,41,41,40,42,45,46,45,45,45,45,45,45,45,48,49,53,58,58,57,58,58,62,62,62,63,63,63,63,65,65,66,66,67,65,65,65,66,66,67,59,64,64
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,55,55,55,55,55,55,55,55,56,56,56,53,53,50,50
Togo,26,26,27,27,27,34,35,35,35,35,35,35,35,38,38,37,41,45,43,37,37,37,37,41,42,46,46,51,50,50,54,55,55,56,56,49,49,50,61,61,61,61,56,57
Trinidad and Tobago,38,41,41,41,41,41,46,46,46,46,48,50,55,55,55,55,57,57,57,57,56,56,56,56,56,67,67,69,69,69,69,69,74,74,74,79,79,79,76,76,81,81,79,83
Tunisia,24,24,24,24,24,27,30,30,30,30,30,31,35,39,38,40,40,40,40,42,42,42,42,42,43,43,43,43,43,47,48,48,48,48,48,47,57,57,57,58,60,61,61,61
Turkey,27,27,27,27,27,26,26,26,26,26,26,26,28,28,28,28,31,31,31,31,33,34,34,34,33,33,33,35,35,35,35,35,33,33,33,33,33,36,29,29,29,30,30,34
Turkmenistan,,,,,,,,,,,,,,,,,24,28,28,34,34,34,34,34,35,35,35,35,35,35,34,34,36,37,37,37,37,42,34,34,34,34,34,41
Uganda,35,35,35,35,35,35,35,35,35,35,31,42,43,43,51,50,50,50,50,56,60,61,66,66,66,66,67,67,67,67,67,69,69,69,70,65,66,64,64,64,62,67,67,60
